Library, Current Item Policy, Loan Length, Set Name, Result
Ginn,AC Adaptor,Midnight/Closing,AC Adaptor - Ginn - to Midnight/Closing and Item Material Type Equipment,200
Ginn,AC Adaptor,Midnight/Closing,AC Adaptor - Ginn - to Midnight/Closing and Item Material Type Equipment,204
Ginn,AC Adaptor,Midnight/Closing,AC Adaptor - Ginn - to Midnight/Closing and Item Material Type Equipment,200
Ginn,AC Adaptor,Midnight/Closing,AC Adaptor - Ginn - to Midnight/Closing and Item Material Type Equipment,204
Ginn,Apple Charger,Midnight/Closing,Apple Charger - Ginn - to Midnight/Closing and Item Material Type Equipment,200
Ginn,Apple Charger,Midnight/Closing,Apple Charger - Ginn - to Midnight/Closing and Item Material Type Equipment,204
Ginn,AV Cable,Midnight/Closing,AV Cable - Ginn - to Midnight/Closing and Item Material Type Equipment,200
Ginn,AV Cable,Midnight/Closing,AV Cable - Ginn - to Midnight/Closing and Item Material Type Equipment,204
Ginn,Calculator,Midnight/Closing,Calculator - Ginn - to Midnight/Closing and Item Material Type Equipment,200
Ginn,Calculator,Midnight/Closing,Calculator - Ginn - to Midnight/Closing and Item Material Type Equipment,204
Ginn,Digital Camera,Midnight/Closing,Digital Camera - Ginn - to Midnight/Closing and Item Material Type Equipment,200
Ginn,Digital Camera,Midnight/Closing,Digital Camera - Ginn - to Midnight/Closing and Item Material Type Equipment,204
Ginn,External Drive,Midnight/Closing,External Drive - Ginn - to Midnight/Closing and Item Material Type Equipment,200
Ginn,External Drive,Midnight/Closing,External Drive - Ginn - to Midnight/Closing and Item Material Type Equipment,204
Ginn,Headphones,Midnight/Closing,Headphones - Ginn - to Midnight/Closing and Item Material Type Equipment,200
Ginn,Headphones,Midnight/Closing,Headphones - Ginn - to Midnight/Closing and Item Material Type Equipment,204
Ginn,Headset,Midnight/Closing,Headset - Ginn - to Midnight/Closing and Item Material Type Equipment,{"total_record_count":0}-set already deleted
Ginn,Laptop,Midnight/Closing,Laptop - Ginn - to Midnight/Closing and Item Material Type Laptop,200
Ginn,Laptop,Midnight/Closing,Laptop - Ginn - to Midnight/Closing and Item Material Type Laptop,204
Ginn,Mac Av Adaptor,Midnight/Closing,Mac Av Adaptor - Ginn - to Midnight/Closing and Item Material Type Equipment,{"total_record_count":0}-set already deleted
